0,[User:16 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/02/2014 19:23:32] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,1,3,1.88394099473953,1.88394099473953,2,183.760165771975
1,16,0,1,3,1.13933491706848,3.02327591180801,2,183.760165771975
1,16,0,1,3,0.566556215286255,3.58983212709427,2,250.832096800401
1,16,0,1,3,0.433712959289551,4.02354508638382,2,250.832096800401
1,16,0,1,3,0.585947036743164,4.60949212312698,2,179.999991416931
1,16,0,1,3,1.3718638420105,5.98135596513748,2,179.999991416931
1,16,0,1,3,0.586185932159424,6.56754189729691,2,183.760165771975
1,16,0,1,3,1.2861499786377,7.8536918759346,2,183.760165771975
1,16,0,1,3,1.28874588012695,9.14243775606155,2,250.832096800401
1,16,0,1,3,1.42106056213379,10.5634983181953,2,250.832096800401
1,16,0,1,3,1.32079792022705,11.8842962384224,2,179.999991416931
1,16,0,1,3,1.53942584991455,13.4237220883369,2,179.999991416931
0,[Device Ends At04/02/2014 19:23:46 -- Overall Times ] 13.4237220883369,,,,,,,,
0,[User:16 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/02/2014 19:30:38] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,1,3,2.62096905708313,2.62096905708313,1,20.1494304398784
1,16,0,1,3,2.49121189117432,5.11218094825745,0,11.4710809447582
1,16,0,1,3,2.73956537246704,7.85174632072449,0,7.68565716035947
1,16,0,1,3,3.18039035797119,11.0321366786957,0,7.18744502625203
1,16,0,1,3,3.89425945281982,14.9263961315155,0,2.66072307669074
1,16,0,1,3,8.63241004943848,23.558806180954,0,5.78717978488961
1,16,0,1,3,4.66287803649902,28.221684217453,0,14.9561237338982
1,16,0,1,3,6.30435943603516,34.5260436534882,1,23.7699397192179
1,16,0,1,3,4.56711578369141,39.0931594371796,0,12.6005846286189
1,16,0,1,3,3.01113891601563,42.1042983531952,0,11.4769756362352
1,16,0,1,3,3.49235153198242,45.5966498851776,1,19.4843134181784
1,16,0,1,3,5.92073822021484,51.5173881053925,0,5.93446296068756
0,[Device Ends At04/02/2014 19:31:32 -- Overall Times ] 51.5173881053925,,,,,,,,
0,[User:16 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/02/2014 19:32:14] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,1,3,3.92695093154907,3.92695093154907,0,9.46710693556911
1,16,0,1,3,2.02364015579224,5.95059108734131,0,15.1290622393682
1,16,0,1,3,3.16334819793701,9.11393928527832,2,47.4361195181081
1,16,0,1,3,2.50968360900879,11.6236228942871,0,12.4537209952276
1,16,0,1,3,3.32849597930908,14.9521188735962,0,12.9889068197801
1,16,0,1,3,3.45772361755371,18.4098424911499,0,2.44466921714203
1,16,0,1,3,5.26708221435547,23.6769247055054,0,11.8635932810725
1,16,0,1,3,5.03422355651855,28.7111482620239,0,8.7955433625326
1,16,0,1,3,3.89777565002441,32.6089239120483,0,6.99790194377165
1,16,0,1,3,2.65807723999023,35.2670011520386,0,5.46167089940601
1,16,0,1,3,3.93273162841797,39.1997327804565,0,8.61636246093505
1,16,0,1,3,3.52499008178711,42.7247228622437,0,9.40877394795223
0,[Device Ends At04/02/2014 19:32:59 -- Overall Times ] 42.7247228622437,,,,,,,,
0,[User:16 - Device:0 - Object:1 - BoundingBoxType:0 - time:04/02/2014 19:33:44] :: 1  ,,,,,,,,
dataType, userId ,Device,object,angleType,elapsed time,overall task elapsed time, errorType,error distance
1,16,0,1,3,15.2232457399368,15.2232457399368,0,8.8614190535526
1,16,0,1,3,3.52966690063477,18.7529126405716,0,5.05854395122484
1,16,0,1,3,4.64909362792969,23.4020062685013,0,7.74962919601797
1,16,0,1,3,3.91347503662109,27.3154813051224,0,4.97488827338406
1,16,0,1,3,5.45073127746582,32.7662125825882,0,1.70414708746653
1,16,0,1,3,5.13468551635742,37.9008980989456,0,3.85185731497487
1,16,0,1,3,5.33467483520508,43.2355729341507,0,6.73263301027597
1,16,0,1,3,3.86279678344727,47.098369717598,0,8.6775851189516
